Senator 	Bills 	Committees 	District 	Party
Neil Anderson	Bills	Committees	47	R
Omar Aquino	Bills	Committees	2	D
Christopher Belt	Bills	Committees	57	D
Tom Bennett	Bills	Committees	53	R
Terri Bryant	Bills	Committees	58	R
Cristina Castro	Bills	Committees	22	D
Javier L. Cervantes	Bills	Committees	1	D
Andrew S. Chesney	Bills	Committees	45	R
Lakesia Collins	Bills	Committees	5	D
Bill Cunningham	Bills	Committees	18	D
John F. Curran	Bills	Committees	41	R
Donald P. DeWitte	Bills	Committees	33	R
Mary Edly-Allen	Bills	Committees	31	D
Laura Ellman	Bills	Committees	21	D
Paul Faraci	Bills	Committees	52	D
Sara Feigenholtz	Bills	Committees	6	D
Laura Fine	Bills	Committees	9	D
Dale Fowler	Bills	Committees	59	R
Suzy Glowiak Hilton	Bills	Committees	23	D
Michael W. Halpin	Bills	Committees	36	D
Don Harmon	Bills	Committees	39	D
Napoleon Harris, III	Bills	Committees	15	D
Erica Harriss	Bills	Committees	56	R
Michael E. Hastings	Bills	Committees	19	D
Linda Holmes	Bills	Committees	42	D
Mattie Hunter	Bills	Committees	3	D
Adriane Johnson	Bills	Committees	30	D
Emil Jones, III	Bills	Committees	14	D
Patrick J. Joyce	Bills	Committees	40	D
David Koehler	Bills	Committees	46	D
Seth Lewis	Bills	Committees	24	R
Kimberly A. Lightford	Bills	Committees	4	D
Meg Loughran Cappel	Bills	Committees	49	D
Robert F. Martwick	Bills	Committees	10	D
Steve McClure	Bills	Committees	54	R
Dan McConchie	Bills	Committees	26	R
Julie A. Morrison	Bills	Committees	29	D
Laura M. Murphy	Bills	Committees	28	D
Robert Peters	Bills	Committees	13	D
Jason Plummer	Bills	Committees	55	R
Mike Porfirio	Bills	Committees	11	D
Willie Preston	Bills	Committees	16	D
Sue Rezin	Bills	Committees	38	R
Chapin Rose	Bills	Committees	51	R
Mike Simmons	Bills	Committees	7	D
Elgie R. Sims, Jr.	Bills	Committees	17	D
Steve Stadelman	Bills	Committees	34	D
Win Stoller	Bills	Committees	37	R
Dave Syverson	Bills	Committees	35	R
Natalie Toro	Bills	Committees	20	D
Jil Tracy	Bills	Committees	50	R
Doris Turner	Bills	Committees	48	D
Sally J. Turner	Bills	Committees	44	R
Rachel Ventura	Bills	Committees	43	D
Karina Villa	Bills	Committees	25	D
Celina Villanueva	Bills	Committees	12	D
Ram Villivalam	Bills	Committees	8	D
Mark L. Walker	Bills	Committees	27	D
Craig Wilcox	Bills	Committees	32	R
