"","Senator","Bills","Committees","District","Party"
"1","Neil Anderson","Bills","Committees",47,"R"
"2","Omar Aquino","Bills","Committees",2,"D"
"3","Christopher Belt","Bills","Committees",57,"D"
"4","Tom Bennett","Bills","Committees",53,"R"
"5","Terri Bryant","Bills","Committees",58,"R"
"6","Cristina Castro","Bills","Committees",22,"D"
"7","Javier L. Cervantes","Bills","Committees",1,"D"
"8","Andrew S. Chesney","Bills","Committees",45,"R"
"9","Lakesia Collins","Bills","Committees",5,"D"
"10","Bill Cunningham","Bills","Committees",18,"D"
"11","John F. Curran","Bills","Committees",41,"R"
"12","Donald P. DeWitte","Bills","Committees",33,"R"
"13","Mary Edly-Allen","Bills","Committees",31,"D"
"14","Laura Ellman","Bills","Committees",21,"D"
"15","Paul Faraci","Bills","Committees",52,"D"
"16","Sara Feigenholtz","Bills","Committees",6,"D"
"17","Laura Fine","Bills","Committees",9,"D"
"18","Dale Fowler","Bills","Committees",59,"R"
"19","Suzy Glowiak Hilton","Bills","Committees",23,"D"
"20","Michael W. Halpin","Bills","Committees",36,"D"
"21","Don Harmon","Bills","Committees",39,"D"
"22","Napoleon Harris, III","Bills","Committees",15,"D"
"23","Erica Harriss","Bills","Committees",56,"R"
"24","Michael E. Hastings","Bills","Committees",19,"D"
"25","Linda Holmes","Bills","Committees",42,"D"
"26","Mattie Hunter","Bills","Committees",3,"D"
"27","Adriane Johnson","Bills","Committees",30,"D"
"28","Emil Jones, III","Bills","Committees",14,"D"
"29","Patrick J. Joyce","Bills","Committees",40,"D"
"30","David Koehler","Bills","Committees",46,"D"
"31","Seth Lewis","Bills","Committees",24,"R"
"32","Kimberly A. Lightford","Bills","Committees",4,"D"
"33","Meg Loughran Cappel","Bills","Committees",49,"D"
"34","Robert F. Martwick","Bills","Committees",10,"D"
"35","Steve McClure","Bills","Committees",54,"R"
"36","Dan McConchie","Bills","Committees",26,"R"
"37","Julie A. Morrison","Bills","Committees",29,"D"
"38","Laura M. Murphy","Bills","Committees",28,"D"
"39","Robert Peters","Bills","Committees",13,"D"
"40","Jason Plummer","Bills","Committees",55,"R"
"41","Mike Porfirio","Bills","Committees",11,"D"
"42","Willie Preston","Bills","Committees",16,"D"
"43","Sue Rezin","Bills","Committees",38,"R"
"44","Chapin Rose","Bills","Committees",51,"R"
"45","Mike Simmons","Bills","Committees",7,"D"
"46","Elgie R. Sims, Jr.","Bills","Committees",17,"D"
"47","Steve Stadelman","Bills","Committees",34,"D"
"48","Win Stoller","Bills","Committees",37,"R"
"49","Dave Syverson","Bills","Committees",35,"R"
"50","Natalie Toro","Bills","Committees",20,"D"
"51","Jil Tracy","Bills","Committees",50,"R"
"52","Doris Turner","Bills","Committees",48,"D"
"53","Sally J. Turner","Bills","Committees",44,"R"
"54","Rachel Ventura","Bills","Committees",43,"D"
"55","Karina Villa","Bills","Committees",25,"D"
"56","Celina Villanueva","Bills","Committees",12,"D"
"57","Ram Villivalam","Bills","Committees",8,"D"
"58","Mark L. Walker","Bills","Committees",27,"D"
"59","Craig Wilcox","Bills","Committees",32,"R"
