"","Senator","Bills","Committees","District","Party"
"1","Antonio Mu","Bills","Committees","1","D"
"2","Omar Aquino","Bills","Committees","2","D"
"3","Mattie Hunter","Bills","Committees","3","D"
"4","Kimberly A. Lightford","Bills","Committees","4","D"
"5","Patricia Van Pelt","Bills","Committees","5","D"
"6","John J. Cullerton","Bills","Committees","6","D"
"7","Heather A. Steans","Bills","Committees","7","D"
"8","Ira I. Silverstein","Bills","Committees","8","D"
"9","Daniel Biss","Bills","Committees","9","D"
"10","John G. Mulroe","Bills","Committees","10","D"
"11","Martin A. Sandoval","Bills","Committees","11","D"
"12","Steven M. Landek","Bills","Committees","12","D"
"13","Kwame Raoul","Bills","Committees","13","D"
"14","Emil Jones, III","Bills","Committees","14","D"
"15","Napoleon Harris, III","Bills","Committees","15","D"
"16","Jacqueline Y. Collins","Bills","Committees","16","D"
"17","Donne E. Trotter","Bills","Committees","17","D"
"18","Bill Cunningham","Bills","Committees","18","D"
"19","Michael E. Hastings","Bills","Committees","19","D"
"20","Iris Y. Martinez","Bills","Committees","20","D"
"21","Michael Connelly","Bills","Committees","21","R"
"22","Michael Noland","Bills","Committees","22","D"
"23","Thomas Cullerton","Bills","Committees","23","D"
"24","Chris Nybo","Bills","Committees","24","R"
"25","Jim Oberweis","Bills","Committees","25","R"
"26","Dan McConchie","Bills","Committees","26","R"
"27","Tom Rooney","Bills","Committees","27","R"
"28","Laura M. Murphy","Bills","Committees","28","D"
"29","Julie A. Morrison","Bills","Committees","29","D"
"30","Terry Link","Bills","Committees","30","D"
"31","Melinda Bush","Bills","Committees","31","D"
"32","Pamela J. Althoff","Bills","Committees","32","R"
"33","Karen McConnaughay","Bills","Committees","33","R"
"34","Steve Stadelman","Bills","Committees","34","D"
"35","Dave Syverson","Bills","Committees","35","R"
"36","Neil Anderson","Bills","Committees","36","R"
"37","Chuck Weaver","Bills","Committees","37","R"
"38","Sue Rezin","Bills","Committees","38","R"
"39","Don Harmon","Bills","Committees","39","D"
"40","Toi W. Hutchinson","Bills","Committees","40","D"
"41","Christine Radogno","Bills","Committees","41","R"
"42","Linda Holmes","Bills","Committees","42","D"
"43","Pat McGuire","Bills","Committees","43","D"
"44","William E. Brady","Bills","Committees","44","R"
"45","Tim Bivins","Bills","Committees","45","R"
"46","David Koehler","Bills","Committees","46","D"
"47","John M. Sullivan","Bills","Committees","47","D"
"48","Andy Manar","Bills","Committees","48","D"
"49","Jennifer Bertino-Tarrant","Bills","Committees","49","D"
"50","Wm. Sam McCann","Bills","Committees","50","R"
"51","Chapin Rose","Bills","Committees","51","R"
"52","Scott M. Bennett","Bills","Committees","52","D"
"53","Jason A. Barickman","Bills","Committees","53","R"
"54","Kyle McCarter","Bills","Committees","54","R"
"55","Dale A. Righter","Bills","Committees","55","R"
"56","William R. Haine","Bills","Committees","56","D"
"57","James F. Clayborne, Jr.","Bills","Committees","57","D"
"58","David S. Luechtefeld","Bills","Committees","58","R"
"59","Gary Forby","Bills","Committees","59","D"
"60","ZZZZ","ZZZZ","ZZZZ","ZZZZ","ZZZZ"
